UNICLASS,PRICE_NEW
Pr_25_71_97_65,102.95
Pr_25_71_97_83,3.0
Pr_25_71_97_91,20.54153846153846
Pr_25_80_79_14,3.95
Pr_25_80_79_94,24.95
Pr_25_80_80,59.95
Pr_25_80_80_42,3.716666666666667
Pr_25_80_81,2.95
Pr_25_80_81_42,4.5
Pr_25_80_81_43,19.225
Pr_25_80_81_45,22.45
Pr_25_93,30.906666666666666
Pr_25_93_45,84.20194444444445
Pr_25_93_45_26,79.44999999999999
Pr_25_93_45_56,4.5
Pr_25_93_45_60,75.31363636363636
Pr_25_93_45_62,3.95
Pr_25_93_50_10,8.075
Pr_25_93_50_16,12.975
Pr_25_93_50_19,43.33571428571429
Pr_25_93_50_22,18.95
Pr_25_93_50_55,27.43
Pr_25_93_50_56,10.95
Pr_25_93_51,35.0
Pr_25_93_51_57,26.95
Pr_25_93_51_58,72.32307692307693
Pr_25_93_52_11,12.95
Pr_25_93_52_56,839.0
Pr_25_93_54_02,52.285000000000004
Pr_25_93_54_11,158.26666666666668
Pr_25_93_54_15,9.77
Pr_25_93_54_46,244.475
Pr_25_93_54_84,26.950000000000003
Pr_25_93_54_98,52.95
Pr_25_93_55,177.1013888888889
Pr_25_93_55_03,38.12
Pr_25_93_55_84,9.35
Pr_25_93_60,10.223333333333333
Pr_25_93_60_02,15.5
Pr_25_93_60_08,2.5
Pr_25_93_60_65,11.95
Pr_25_93_60_78,13.258333333333333
Pr_25_93_70_11,34.95
Pr_25_93_70_70,17.95
Pr_25_93_72_11,55.089999999999996
Pr_25_93_72_31,3.807142857142857
Pr_25_93_72_52,17.95
Pr_25_93_72_73,10.9
Pr_25_96_30,7.7
Pr_25_96_35_03,19.95
Pr_25_96_35_11,48.95
Pr_25_96_35_53,599.0
Pr_30_31_76,12.16
Pr_30_31_76_27,10.95
Pr_30_31_76_40,13.95
Pr_30_31_76_41,16.883333333333333
Pr_30_36,38.898863636363636
Pr_30_36_08_06,4.25
Pr_30_36_08_15,7.5
Pr_30_36_08_18,17.95
Pr_30_36_08_28,19.95
Pr_30_36_08_29,359.475
Pr_30_36_08_46,7.95
Pr_30_36_08_52,9.95
Pr_30_36_08_62,27.475
Pr_30_36_08_77,12.95
Pr_30_36_08_91,216.215
Pr_30_36_33,42.375
Pr_30_36_33_27,39.862
Pr_30_36_33_72,11.471428571428572
Pr_30_36_36,33.507999999999996
Pr_30_36_36_06,13.5
Pr_30_36_36_07,9.36875
Pr_30_36_36_08,150.8
Pr_30_36_36_23,17.95
Pr_30_36_36_28,132.92499999999998
Pr_30_36_36_84,5.0
Pr_30_36_59_32,42.349999999999994
Pr_30_36_59_34,99.95
Pr_30_36_59_36,49.95
Pr_30_36_59_45,24.95
Pr_30_59,7.95
Pr_30_59_01_96,7.95
Pr_30_59_07_09,8.15
Pr_30_59_07_27,8.0
Pr_30_59_07_64,25.96666666666667
Pr_30_59_07_73,18.616666666666664
Pr_30_59_07_94,12.950000000000001
Pr_30_59_09,19.393939393939394
Pr_30_59_09_01,7.9
Pr_30_59_09_03,68.04166666666667
Pr_30_59_09_04,28.95
Pr_30_59_09_05,157.10454545454547
Pr_30_59_09_12,15.95
Pr_30_59_09_15,824.0
Pr_30_59_09_18,0.8
Pr_30_59_09_33,57.833999999999996
Pr_30_59_09_62,18.915
Pr_30_59_09_63,23.40833333333333
Pr_30_59_09_82,3.95
Pr_30_59_09_84,495.98333333333335
Pr_30_59_09_85,26.7
Pr_30_59_09_86,6.199999999999999
Pr_30_59_09_90,329.0
Pr_30_59_09_91,183.67972972972973
Pr_30_59_09_92,34.95
Pr_30_59_09_93,64.1046551724138
Pr_30_59_12_07,27.5
Pr_30_59_23_11,29.95
Pr_30_59_23_96,8.316666666666666
Pr_30_59_24_14,72.45
Pr_30_59_24_15,1.0
Pr_30_59_28_78,7.95
Pr_30_59_29,82.0
Pr_30_59_29_64,24.95
Pr_30_59_29_71,499.95
Pr_30_59_29_72,649.0
Pr_30_59_29_73,12.826666666666668
Pr_30_59_29_75,114.94999999999999
Pr_30_59_29_82,5.5
Pr_30_59_33_02,99.95
Pr_30_59_33_03,12.9
