,IFC,raw
1562,hatch marking,IfcSurfaceFeature.HATCHMARKING
1563,line marking,IfcSurfaceFeature.LINEMARKING
1564,mark,IfcSurfaceFeature.MARK
1565,nonskid surfacing,IfcSurfaceFeature.NONSKIDSURFACING
1566,pavementsurface marking,IfcSurfaceFeature.PAVEMENTSURFACEMARKING
1567,rumble strip,IfcSurfaceFeature.RUMBLESTRIP
1568,symbol marking,IfcSurfaceFeature.SYMBOLMARKING
1569,tag,IfcSurfaceFeature.TAG
1570,transverserumble strip,IfcSurfaceFeature.TRANSVERSERUMBLESTRIP
1571,treatment,IfcSurfaceFeature.TREATMENT
1572,user defined,IfcSurfaceFeature.USERDEFINED
1573,not defined,IfcSurfaceFeature.NOTDEFINED
1574,bar,IfcTendon.BAR
1575,coated,IfcTendon.COATED
1576,strand,IfcTendon.STRAND
1577,wire,IfcTendon.WIRE
1578,user defined,IfcTendon.USERDEFINED
1579,not defined,IfcTendon.NOTDEFINED
1580,coupler,IfcTendonAnchor.COUPLER
1581,fixed_ end,IfcTendonAnchor.FIXED_END
1582,tensioning_ end,IfcTendonAnchor.TENSIONING_END
1583,user defined,IfcTendonAnchor.USERDEFINED
1584,not defined,IfcTendonAnchor.NOTDEFINED
1585,coupler,IfcTendonConduit.COUPLER
1586,dia bolo,IfcTendonConduit.DIABOLO
1587,duct,IfcTendonConduit.DUCT
1588,grouting_ duct,IfcTendonConduit.GROUTING_DUCT
1589,trumpet,IfcTendonConduit.TRUMPET
1590,user defined,IfcTendonConduit.USERDEFINED
1591,not defined,IfcTendonConduit.NOTDEFINED
1592,chamfer,IfcVoidingFeature.CHAMFER
1593,cutout,IfcVoidingFeature.CUTOUT
1594,edge,IfcVoidingFeature.EDGE
1595,hole,IfcVoidingFeature.HOLE
1596,miter,IfcVoidingFeature.MITER
1597,notch,IfcVoidingFeature.NOTCH
1598,user defined,IfcVoidingFeature.USERDEFINED
1599,not defined,IfcVoidingFeature.NOTDEFINED
1600,actuator,IfcActuator
1601,actuator,IfcActuator
1602,actuator,IfcActuator
1603,actuator,IfcActuator
1604,actuator,IfcActuator
1605,actuator,IfcActuator
1606,actuator,IfcActuator
1607,alarm,IfcAlarm
1608,alarm,IfcAlarm
1609,alarm,IfcAlarm
1610,alarm,IfcAlarm
1611,alarm,IfcAlarm
1612,alarm,IfcAlarm
1613,alarm,IfcAlarm
1614,alarm,IfcAlarm
1615,alarm,IfcAlarm
1616,alarm,IfcAlarm
1617,controller,IfcController
1618,controller,IfcController
1619,controller,IfcController
1620,controller,IfcController
1621,controller,IfcController
1622,controller,IfcController
1623,controller,IfcController
1624,flow  instrument,IfcFlowInstrument
1625,flow  instrument,IfcFlowInstrument
1626,flow  instrument,IfcFlowInstrument
1627,flow  instrument,IfcFlowInstrument
1628,flow  instrument,IfcFlowInstrument
1629,flow  instrument,IfcFlowInstrument
1630,flow  instrument,IfcFlowInstrument
1631,flow  instrument,IfcFlowInstrument
1632,flow  instrument,IfcFlowInstrument
1633,flow  instrument,IfcFlowInstrument
1634,flow  instrument,IfcFlowInstrument
1635,flow  instrument,IfcFlowInstrument
1636,sensor,IfcSensor
1637,sensor,IfcSensor
1638,sensor,IfcSensor
1639,sensor,IfcSensor
1640,sensor,IfcSensor
1641,sensor,IfcSensor
1642,sensor,IfcSensor
